Significance of Classification Techniques in Prediction of Learning Disabilities,"The aim of this study is to show the importance of two classification
techniques, viz. decision tree and clustering, in prediction of learning
disabilities (LD) of school-age children. LDs affect about 10 percent of all
children enrolled in schools. The problems of children with specific learning
disabilities have been a cause of concern to parents and teachers for some
time. Decision trees and clustering are powerful and popular tools used for
classification and prediction in Data mining. Different rules extracted from
the decision tree are used for prediction of learning disabilities. Clustering
is the assignment of a set of observations into subsets, called clusters, which
are useful in finding the different signs and symptoms (attributes) present in
the LD affected child. In this paper, J48 algorithm is used for constructing
the decision tree and K-means algorithm is used for creating the clusters. By
applying these classification techniques, LD in any child can be identified.",J48 - 0.00; clusteringĊ - 5.23,Cl - 0.32; LD - 0.46,J48 - Cl - 0.61; J48 - LD - 0.87; clusteringĊ - LD - 12.08,"{'CumulativeMethodScore': 0.6955080476466727, 'CumulativeTaskScore': 0.5024209705421656, 'CumulativeMethodTaskPairScore': 0.558747899717818}"
URSA: A System for Uniform Reduction to SAT,"There are a huge number of problems, from various areas, being solved by
reducing them to SAT. However, for many applications, translation into SAT is
performed by specialized, problem-specific tools. In this paper we describe a
new system for uniform solving of a wide class of problems by reducing them to
SAT. The system uses a new specification language URSA that combines imperative
and declarative programming paradigms. The reduction to SAT is defined
precisely by the semantics of the specification language. The domain of the
approach is wide (e.g., many NP-complete problems can be simply specified and
then solved by the system) and there are problems easily solvable by the
proposed system, while they can be hardly solved by using other programming
languages or constraint programming systems. So, the system can be seen not
only as a tool for solving problems by reducing them to SAT, but also as a
general-purpose constraint solving system (for finite domains). In this paper,
we also describe an open-source implementation of the described approach. The
performed experiments suggest that the system is competitive to
state-of-the-art related modelling systems.",ĊSAT - 2.51; SAT - 0.00; URSA - 1.80; URSA for Uniform Reduction to SAT - 10.10,SAT - 0.00; constraint solving - 0.00,URSA - SAT - 8.60; URSA - constraint solving - 6.38,"{'CumulativeMethodScore': 0.9412764073655365, 'CumulativeTaskScore': 0.4437545391385066, 'CumulativeMethodTaskPairScore': 0.5709493374464625}"
SAPFOCS: a metaheuristic based approach to part family formation problems in group technology,"This article deals with Part family formation problem which is believed to be
moderately complicated to be solved in polynomial time in the vicinity of Group
Technology (GT). In the past literature researchers investigated that the part
family formation techniques are principally based on production flow analysis
(PFA) which usually considers operational requirements, sequences and time.
Part Coding Analysis (PCA) is merely considered in GT which is believed to be
the proficient method to identify the part families. PCA classifies parts by
allotting them to different families based on their resemblances in: (1) design
characteristics such as shape and size, and/or (2) manufacturing
characteristics (machining requirements). A novel approach based on simulated
annealing namely SAPFOCS is adopted in this study to develop effective part
families exploiting the PCA technique. Thereafter Taguchi's orthogonal design
method is employed to solve the critical issues on the subject of parameters
selection for the proposed metaheuristic algorithm. The adopted technique is
therefore tested on 5 different datasets of size 5 {\times} 9 to 27 {\times} 9
and the obtained results are compared with C-Linkage clustering technique. The
experimental results reported that the proposed metaheuristic algorithm is
extremely effective in terms of the quality of the solution obtained and has
outperformed C-Linkage algorithm in most instances.",Part Coding Analysis - 1.13; C-Linkageering - 2.84; C-Linkage - 2.17; PCA - 0.00; SAPFOCS - 0.71,production flow analysis - 0.98,PCA - production flow analysis - 3.63,"{'CumulativeMethodScore': 0.7632076435228883, 'CumulativeTaskScore': 0.5168404426757507, 'CumulativeMethodTaskPairScore': 0.47205449324691345}"
Evolving Genes to Balance a Pole,"We discuss how to use a Genetic Regulatory Network as an evolutionary
representation to solve a typical GP reinforcement problem, the pole balancing.
The network is a modified version of an Artificial Regulatory Network proposed
a few years ago, and the task could be solved only by finding a proper way of
connecting inputs and outputs to the network. We show that the representation
is able to generalize well over the problem domain, and discuss the performance
of different models of this kind.",Genetic Regulatory Network - 1.31; Artificial Regulatory Network - 0.75,pole balancing - 2.33,Genetic Regulatory Network - pole balancing - 5.71; Artificial Regulatory Network - pole balancing - 5.06,"{'CumulativeMethodScore': 0.5383181961177268, 'CumulativeTaskScore': 0.6164267003945315, 'CumulativeMethodTaskPairScore': 0.5345069982017108}"
Growing a Tree in the Forest: Constructing Folksonomies by Integrating Structured Metadata,"Many social Web sites allow users to annotate the content with descriptive
metadata, such as tags, and more recently to organize content hierarchically.
These types of structured metadata provide valuable evidence for learning how a
community organizes knowledge. For instance, we can aggregate many personal
hierarchies into a common taxonomy, also known as a folksonomy, that will aid
users in visualizing and browsing social content, and also to help them in
organizing their own content. However, learning from social metadata presents
several challenges, since it is sparse, shallow, ambiguous, noisy, and
inconsistent. We describe an approach to folksonomy learning based on
relational clustering, which exploits structured metadata contained in personal
hierarchies. Our approach clusters similar hierarchies using their structure
and tag statistics, then incrementally weaves them into a deeper, bushier tree.
We study folksonomy learning using social metadata extracted from the
photo-sharing site Flickr, and demonstrate that the proposed approach addresses
the challenges. Moreover, comparing to previous work, the approach produces
larger, more accurate folksonomies, and in addition, scales better.",Ċonomy - 1.60; folksonomy - 4.04,folksonomy learning - 3.26,Ċonomy - folksonomy learning - 7.12,"{'CumulativeMethodScore': 0.7136841453164479, 'CumulativeTaskScore': 0.6795188750589917, 'CumulativeMethodTaskPairScore': 0.502636157036668}"
A general approach to belief change in answer set programming,"We address the problem of belief change in (nonmonotonic) logic programming
under answer set semantics. Unlike previous approaches to belief change in
logic programming, our formal techniques are analogous to those of
distance-based belief revision in propositional logic. In developing our
results, we build upon the model theory of logic programs furnished by SE
models. Since SE models provide a formal, monotonic characterisation of logic
programs, we can adapt techniques from the area of belief revision to belief
change in logic programs. We introduce methods for revising and merging logic
programs, respectively. For the former, we study both subset-based revision as
well as cardinality-based revision, and we show that they satisfy the majority
of the AGM postulates for revision. For merging, we consider operators
following arbitration merging and IC merging, respectively. We also present
encodings for computing the revision as well as the merging of logic programs
within the same logic programming framework, giving rise to a direct
implementation of our approach in terms of off-the-shelf answer set solvers.
These encodings reflect in turn the fact that our change operators do not
increase the complexity of the base formalism.",subsetity - 1.86; SE - 0.00; IC merging - 1.19,beliefĊchange programs - 2.85; belief change - 0.63; belief revision - 0.00; belief change programming - 1.73,subsetity - belief change - 9.66; SE - belief change - 3.06; SE - belief revision - 0.00,"{'CumulativeMethodScore': 0.5900929642376804, 'CumulativeTaskScore': 0.7917879558966718, 'CumulativeMethodTaskPairScore': 0.551419032618024}"
Learning Efficient Disambiguation,"This dissertation analyses the computational properties of current
performance-models of natural language parsing, in particular Data Oriented
Parsing (DOP), points out some of their major shortcomings and suggests
suitable solutions. It provides proofs that various problems of probabilistic
disambiguation are NP-Complete under instances of these performance-models, and
it argues that none of these models accounts for attractive efficiency
properties of human language processing in limited domains, e.g. that frequent
inputs are usually processed faster than infrequent ones. The central
hypothesis of this dissertation is that these shortcomings can be eliminated by
specializing the performance-models to the limited domains. The dissertation
addresses ""grammar and model specialization"" and presents a new framework, the
Ambiguity-Reduction Specialization (ARS) framework, that formulates the
necessary and sufficient conditions for successful specialization. The
framework is instantiated into specialization algorithms and applied to
specializing DOP. Novelties of these learning algorithms are 1) they limit the
hypotheses-space to include only ""safe"" models, 2) are expressed as constrained
optimization formulae that minimize the entropy of the training tree-bank given
the specialized grammar, under the constraint that the size of the specialized
model does not exceed a predefined maximum, and 3) they enable integrating the
specialized model with the original one in a complementary manner. The
dissertation provides experiments with initial implementations and compares the
resulting Specialized DOP (SDOP) models to the original DOP models with
encouraging results.",Data OrientedĊParsing - 1.42; DOPabilisticĊdisambiguation - 1.75; DOP - 0.00; ĊAmbiguity-Reduction Specialization - 1.19; SDOP - 0.37; Specialized DOP - 0.54; ARS - 0.00,Learning Disambiguation - 1.55; natural language parsing - 0.00,DOPabilisticĊdisambiguation - natural language parsing - 6.14; ĊAmbiguity-Reduction Specialization - natural language parsing - 3.55; SDOP - natural language parsing - 2.96; ARS - natural language parsing - 0.00; Specialized DOP - natural language parsing - 2.58; Data OrientedĊParsing - natural language parsing - 5.40,"{'CumulativeMethodScore': 0.6972619496171172, 'CumulativeTaskScore': 0.5593894096227766, 'CumulativeMethodTaskPairScore': 0.6186207534041154}"
Resolving Part-of-Speech Ambiguity in the Greek Language Using Learning Techniques,"This article investigates the use of Transformation-Based Error-Driven
learning for resolving part-of-speech ambiguity in the Greek language. The aim
is not only to study the performance, but also to examine its dependence on
different thematic domains. Results are presented here for two different test
cases: a corpus on ""management succession events"" and a general-theme corpus.
The two experiments show that the performance of this method does not depend on
the thematic domain of the corpus, and its accuracy for the Greek language is
around 95%.",Transformation Error-DrivenĊlearning - 5.90,resolving part-of-speech ambiguity - 2.25,Transformation Error-DrivenĊlearning - resolving part-of-speech ambiguity - 8.15,"{'CumulativeMethodScore': 0.7249554339496901, 'CumulativeTaskScore': 0.6101736201933586, 'CumulativeMethodTaskPairScore': 0.5116003810615923}"
Implementing Integrity Constraints in an Existing Belief Revision System,"SNePS is a mature knowledge representation, reasoning, and acting system that
has long contained a belief revision subsystem, called SNeBR. SNeBR is
triggered when an explicit contradiction is introduced into the SNePS belief
space, either because of a user's new assertion, or because of a user's query.
SNeBR then makes the user decide what belief to remove from the belief space in
order to restore consistency, although it provides information to help the user
in making that decision. We have recently added automatic belief revision to
SNeBR, by which, under certain circumstances, SNeBR decides by itself which
belief to remove, and then informs the user of the decision and its
consequences. We have used the well-known belief revision integrity constraints
as a guide in designing automatic belief revision, taking into account,
however, that SNePS's belief space is not deductively closed, and that it would
be infeasible to form the deductive closure in order to decide what belief to
remove. This paper briefly describes SNeBR both before and after this revision,
discusses how we adapted the integrity constraints for this purpose, and gives
an example of the new SNeBR in action.",SNePS revision - 1.71; SNePS - 0.81; SNeBR - 0.51; SNeBR revision - 1.87; ĊSNeBR - 0.78,belief revision - 0.00,ĊSNeBR - belief revision - 2.97; SNePS revision - belief revision - 5.16; SNePS - belief revision - 3.05; SNeBR revision - belief revision - 5.64; SNeBR - belief revision - 1.90,"{'CumulativeMethodScore': 0.715157422215983, 'CumulativeTaskScore': 0.44375447054421435, 'CumulativeMethodTaskPairScore': 0.6027631148184298}"
Reasoning with Axioms: Theory and Pratice,"When reasoning in description, modal or temporal logics it is often useful to
consider axioms representing universal truths in the domain of discourse.
Reasoning with respect to an arbitrary set of axioms is hard, even for
relatively inexpressive logics, and it is essential to deal with such axioms in
an efficient manner if implemented systems are to be effective in real
applications. This is particularly relevant to Description Logics, where
subsumption reasoning with respect to a terminology is a fundamental problem.
Two optimisation techniques that have proved to be particularly effective in
dealing with terminologies are lazy unfolding and absorption. In this paper we
seek to improve our theoretical understanding of these important techniques. We
define a formal framework that allows the techniques to be precisely described,
establish conditions under which they can be safely applied, and prove that,
provided these conditions are respected, subsumption testing algorithms will
still function correctly. These results are used to show that the procedures
used in the FaCT system are correct and, moreover, to show how efficiency can
be significantly improved, while still retaining the guarantee of correctness,
by relaxing the safety conditions for absorption.",FaCT - 3.78,subsumption testing - 2.64,FaCT - subsumption testing - 6.42,"{'CumulativeMethodScore': 0.6267581791950864, 'CumulativeTaskScore': 0.6378234952276249, 'CumulativeMethodTaskPairScore': 0.49644166157615577}"
Semantic Parsing based on Verbal Subcategorization,"The aim of this work is to explore new methodologies on Semantic Parsing for
unrestricted texts. Our approach follows the current trends in Information
Extraction (IE) and is based on the application of a verbal subcategorization
lexicon (LEXPIR) by means of complex pattern recognition techniques. LEXPIR is
framed on the theoretical model of the verbal subcategorization developed in
the Pirapides project.",( - 0.00; LEXPIR - 5.23,InformationĊExtraction - 4.64; Semantic Parsing - 0.00; IE - 0.00,( - Semantic Parsing - 0.00; LEXPIR - Semantic Parsing - 8.43; LEXPIR - IE - 17.87,"{'CumulativeMethodScore': 0.6957295284674858, 'CumulativeTaskScore': 0.7625956855813836, 'CumulativeMethodTaskPairScore': 0.6641828984684628}"
Boosting Applied to Word Sense Disambiguation,"In this paper Schapire and Singer's AdaBoost.MH boosting algorithm is applied
to the Word Sense Disambiguation (WSD) problem. Initial experiments on a set of
15 selected polysemous words show that the boosting approach surpasses Naive
Bayes and Exemplar-based approaches, which represent state-of-the-art accuracy
on supervised WSD. In order to make boosting practical for a real learning
domain of thousands of words, several ways of accelerating the algorithm by
reducing the feature space are studied. The best variant, which we call
LazyBoosting, is tested on the largest sense-tagged corpus available containing
192,800 examples of the 191 most frequent and ambiguous English words. Again,
boosting compares favourably to the other benchmark algorithms.",Ċboosting - 0.70; boosting - 0.00; AdaBoost.MH - 2.54; NaiveĊBayes - 0.86; ĊLazyBoosting - 1.39,WSD - 0.00; Word Sense Disambiguation - 0.00,boosting - WSD - 0.00; boosting - Word Sense Disambiguation - 0.00; AdaBoost.MH - WSD - 5.96; AdaBoost.MH - Word Sense Disambiguation - 4.75; NaiveĊBayes - Word Sense Disambiguation - 2.72; ĊLazyBoosting - Word Sense Disambiguation - 4.42; Ċboosting - Word Sense Disambiguation - 2.94,"{'CumulativeMethodScore': 0.706731801645229, 'CumulativeTaskScore': 0.44375447054421435, 'CumulativeMethodTaskPairScore': 0.6198937511268241}"
Naive Bayes and Exemplar-Based approaches to Word Sense Disambiguation Revisited,"This paper describes an experimental comparison between two standard
supervised learning methods, namely Naive Bayes and Exemplar-based
classification, on the Word Sense Disambiguation (WSD) problem. The aim of the
work is twofold. Firstly, it attempts to contribute to clarify some confusing
information about the comparison between both methods appearing in the related
literature. In doing so, several directions have been explored, including:
testing several modifications of the basic learning algorithms and varying the
feature space. Secondly, an improvement of both algorithms is proposed, in
order to deal with large attribute sets. This modification, which basically
consists in using only the positive information appearing in the examples,
allows to improve greatly the efficiency of the methods, with no loss in
accuracy. The experiments have been performed on the largest sense-tagged
corpus available containing the most frequent and ambiguous English words.
Results show that the Exemplar-based approach to WSD is generally superior to
the Bayesian approach, especially when a specific metric for dealing with
symbolic attributes is used.",Exemplar-based - 0.00; Bayesian - 0.00; Exemplar-basedĊclassification - 1.78; Naive Bayes - 0.00,WSD - 0.00; Word Sense Disambiguation - 0.00,Exemplar-basedĊclassification - WSD - 4.85; Exemplar-basedĊclassification - Word Sense Disambiguation - 3.63; Exemplar-based - WSD - 0.00; Exemplar-based - Word Sense Disambiguation - 0.00; Naive Bayes - WSD - 0.00; Naive Bayes - Word Sense Disambiguation - 0.00; Bayesian - WSD - 0.00; Bayesian - Word Sense Disambiguation - 0.00,"{'CumulativeMethodScore': 0.5238747755555268, 'CumulativeTaskScore': 0.44375447054421435, 'CumulativeMethodTaskPairScore': 0.5145033175277479}"
Coaxing Confidences from an Old Friend: Probabilistic Classifications from Transformation Rule Lists,"Transformation-based learning has been successfully employed to solve many
natural language processing problems. It has many positive features, but one
drawback is that it does not provide estimates of class membership
probabilities.
  In this paper, we present a novel method for obtaining class membership
probabilities from a transformation-based rule list classifier. Three
experiments are presented which measure the modeling accuracy and cross-entropy
of the probabilistic classifier on unseen data and the degree to which the
output probabilities from the classifier can be used to estimate confidences in
its classification decisions.
  The results of these experiments show that, for the task of text chunking,
the estimates produced by this technique are more informative than those
generated by a state-of-the-art decision tree.",decision tree - 1.05,text chunking - 0.00,decision tree - text chunking - 1.05,"{'CumulativeMethodScore': 0.48507149975314856, 'CumulativeTaskScore': 0.44375447054421435, 'CumulativeMethodTaskPairScore': 0.4496762506725626}"
Stacking classifiers for anti-spam filtering of e-mail,"We evaluate empirically a scheme for combining classifiers, known as stacked
generalization, in the context of anti-spam filtering, a novel cost-sensitive
application of text categorization. Unsolicited commercial e-mail, or ""spam"",
floods mailboxes, causing frustration, wasting bandwidth, and exposing minors
to unsuitable content. Using a public corpus, we show that stacking can improve
the efficiency of automatically induced anti-spam filters, and that such
filters can be used in real-life applications.",stackedĊgeneralization - 3.48,text categorization - 0.00; anti-spam filtering - 2.23,stackedĊgeneralization - text categorization - 5.89; stackedĊgeneralization - anti-spam filtering - 7.61,"{'CumulativeMethodScore': 0.6117654469497171, 'CumulativeTaskScore': 0.6094221728994517, 'CumulativeMethodTaskPairScore': 0.5582063778346248}"
Propositional satisfiability in answer-set programming,"We show that propositional logic and its extensions can support answer-set
programming in the same way stable logic programming and disjunctive logic
programming do. To this end, we introduce a logic based on the logic of
propositional schemata and on a version of the Closed World Assumption. We call
it the extended logic of propositional schemata with CWA (PS+, in symbols). An
important feature of this logic is that it supports explicit modeling of
constraints on cardinalities of sets. In the paper, we characterize the class
of problems that can be solved by finite PS+ theories. We implement a
programming system based on the logic PS+ and design and implement a solver for
processing theories in PS+. We present encouraging performance results for our
approach --- we show it to be competitive with smodels, a state-of-the-art
answer-set programming system based on stable logic programming.","PS+ - 1.11; stable logic - 0.67; PS - 0.00; disctive logicĊprogramming - 1.15; PS+, - 1.54; extended schemata CWA - 1.91; Ċ - 0.00; stable - 0.07",answer-setĊprogramming - 1.71; Propositional satisfiability - 1.98,PS+ - answer-setĊprogramming - 11.99; PS - answer-setĊprogramming - 8.45,"{'CumulativeMethodScore': 0.7471178734031994, 'CumulativeTaskScore': 0.7073744821493969, 'CumulativeMethodTaskPairScore': 0.6170280457861282}"
aspps --- an implementation of answer-set programming with propositional schemata,"We present an implementation of an answer-set programming paradigm, called
aspps (short for answer-set programming with propositional schemata). The
system aspps is designed to process PS+ theories. It consists of two basic
modules. The first module, psgrnd, grounds an PS+ theory. The second module,
referred to as aspps, is a solver. It computes models of ground PS+ theories.",Ċaspps - 1.26; as - 0.19; aspps - 0.91; answer-set programming with propositional schemata - 4.25,PS - 0.11,Ċaspps - PS - 6.30; as - PS - 2.48; aspps - PS - 5.24; answer-set programming with propositional schemata - PS - 6.94,"{'CumulativeMethodScore': 0.7539374004692005, 'CumulativeTaskScore': 0.4520308238462988, 'CumulativeMethodTaskPairScore': 0.6213565494695125}"
A Logic Programming Approach to Knowledge-State Planning: Semantics and Complexity,"We propose a new declarative planning language, called K, which is based on
principles and methods of logic programming. In this language, transitions
between states of knowledge can be described, rather than transitions between
completely described states of the world, which makes the language well-suited
for planning under incomplete knowledge. Furthermore, it enables the use of
default principles in the planning process by supporting negation as failure.
Nonetheless, K also supports the representation of transitions between states
of the world (i.e., states of complete knowledge) as a special case, which
shows that the language is very flexible. As we demonstrate on particular
examples, the use of knowledge states may allow for a natural and compact
problem representation. We then provide a thorough analysis of the
computational complexity of K, and consider different planning problems,
including standard planning and secure planning (also known as conformant
planning) problems. We show that these problems have different complexities
under various restrictions, ranging from NP to NEXPTIME in the propositional
case. Our results form the theoretical basis for the DLV^K system, which
implements the language K on top of the DLV logic programming system.",K - 0.26; DLV^K - 5.08; DL - 0.00,secure planning - 1.66; planning - 0.00; conformantĊplanning - 4.34,K - secure planning - 6.81; K - planning - 1.53; K - conformantĊplanning - 12.29; DLV^K - secure planning - 14.22; DLV^K - planning - 14.01; DL - secure planning - 6.32; DL - planning - 0.00; DL - conformantĊplanning - 12.22,"{'CumulativeMethodScore': 0.7007061977754425, 'CumulativeTaskScore': 0.8284972417106328, 'CumulativeMethodTaskPairScore': 0.8929338783248969}"
Computing Preferred Answer Sets by Meta-Interpretation in Answer Set Programming,"Most recently, Answer Set Programming (ASP) is attracting interest as a new
paradigm for problem solving. An important aspect which needs to be supported
is the handling of preferences between rules, for which several approaches have
been presented. In this paper, we consider the problem of implementing
preference handling approaches by means of meta-interpreters in Answer Set
Programming. In particular, we consider the preferred answer set approaches by
Brewka and Eiter, by Delgrande, Schaub and Tompits, and by Wang, Zhou and Lin.
We present suitable meta-interpreters for these semantics using DLV, which is
an efficient engine for ASP. Moreover, we also present a meta-interpreter for
the weakly preferred answer set approach by Brewka and Eiter, which uses the
weak constraint feature of DLV as a tool for expressing and solving an
underlying optimization problem. We also consider advanced meta-interpreters,
which make use of graph-based characterizations and often allow for more
efficient computations. Our approach shows the suitability of ASP in general
and of DLV in particular for fast prototyping. This can be fruitfully exploited
for experimenting with new languages and knowledge-representation formalisms.",ASP - 0.00; DLV - 0.00,ASP - 0.00; Answer SetĊProgramming - 4.43; Answer Set Programming - 0.59,DLV - ASP - 0.00; DLV - Answer SetĊProgramming - 8.01; DLV - Answer Set Programming - 1.27,"{'CumulativeMethodScore': 0.42968112455569435, 'CumulativeTaskScore': 0.7829003407954978, 'CumulativeMethodTaskPairScore': 0.5215125490698379}"
"The Mysterious Optimality of Naive Bayes: Estimation of the Probability in the System of ""Classifiers""","Bayes Classifiers are widely used currently for recognition, identification
and knowledge discovery. The fields of application are, for example, image
processing, medicine, chemistry (QSAR). But by mysterious way the Naive Bayes
Classifier usually gives a very nice and good presentation of a recognition. It
can not be improved considerably by more complex models of Bayes Classifier. We
demonstrate here a very nice and simple proof of the Naive Bayes Classifier
optimality, that can explain this interesting fact.The derivation in the
current paper is based on arXiv:cs/0202020v1",Naive Bayes - 0.00,imageĊprocessing - 2.18; QSAR - 1.04,Naive Bayes - QSAR - 1.42,"{'CumulativeMethodScore': 0.4296812419442083, 'CumulativeTaskScore': 0.6776550134666925, 'CumulativeMethodTaskPairScore': 0.4528444771984815}"
Robust Global Localization Using Clustered Particle Filtering,"Global mobile robot localization is the problem of determining a robot's pose
in an environment, using sensor data, when the starting position is unknown. A
family of probabilistic algorithms known as Monte Carlo Localization (MCL) is
currently among the most popular methods for solving this problem. MCL
algorithms represent a robot's belief by a set of weighted samples, which
approximate the posterior probability of where the robot is located by using a
Bayesian formulation of the localization problem. This article presents an
extension to the MCL algorithm, which addresses its problems when localizing in
highly symmetrical environments; a situation where MCL is often unable to
correctly track equally probable poses for the robot. The problem arises from
the fact that sample sets in MCL often become impoverished, when samples are
generated according to their posterior likelihood. Our approach incorporates
the idea of clusters of samples and modifies the proposal distribution
considering the probability mass of those clusters. Experimental results are
presented that show that this new extension to the MCL algorithm successfully
localizes in symmetric environments where ordinary MCL often fails.",Monte Carlo Localization - 1.00; MCL - 1.03,Global mobile robot localization - 2.03,Monte Carlo Localization - Global mobile robot localization - 3.60; MCL - Global mobile robot localization - 5.22,"{'CumulativeMethodScore': 0.5368346869765768, 'CumulativeTaskScore': 0.5945471590416953, 'CumulativeMethodTaskPairScore': 0.5174878968764494}"
Relational Association Rules: getting WARMeR,"In recent years, the problem of association rule mining in transactional data
has been well studied. We propose to extend the discovery of classical
association rules to the discovery of association rules of conjunctive queries
in arbitrary relational data, inspired by the WARMR algorithm, developed by
Dehaspe and Toivonen, that discovers association rules over a limited set of
conjunctive queries. Conjunctive query evaluation in relational databases is
well understood, but still poses some great challenges when approached from a
discovery viewpoint in which patterns are generated and evaluated with respect
to some well defined search space and pruning operators.",WARMR - 2.05,association rule mining - 0.60,WARMR - association rule mining - 2.65,"{'CumulativeMethodScore': 0.5377336847422695, 'CumulativeTaskScore': 0.4887279969318055, 'CumulativeMethodTaskPairScore': 0.46354554372166024}"
A Polynomial Translation of Logic Programs with Nested Expressions into Disjunctive Logic Programs: Preliminary Report,"Nested logic programs have recently been introduced in order to allow for
arbitrarily nested formulas in the heads and the bodies of logic program rules
under the answer sets semantics. Nested expressions can be formed using
conjunction, disjunction, as well as the negation as failure operator in an
unrestricted fashion. This provides a very flexible and compact framework for
knowledge representation and reasoning. Previous results show that nested logic
programs can be transformed into standard (unnested) disjunctive logic programs
in an elementary way, applying the negation as failure operator to body
literals only. This is of great practical relevance since it allows us to
evaluate nested logic programs by means of off-the-shelf disjunctive logic
programming systems, like DLV. However, it turns out that this straightforward
transformation results in an exponential blow-up in the worst-case, despite the
fact that complexity results indicate that there is a polynomial translation
among both formalisms. In this paper, we take up this challenge and provide a
polynomial translation of logic programs with nested expressions into
disjunctive logic programs. Moreover, we show that this translation is modular
and (strongly) faithful. We have implemented both the straightforward as well
as our advanced transformation; the resulting compiler serves as a front-end to
DLV and is publicly available on the Web.",ĊDLV - 1.38; DLV - 0.00; Nested logic programs dis - 2.19,dis logicĊprogramming - 2.39,DLV - dis logicĊprogramming - 5.14,"{'CumulativeMethodScore': 0.6164647613309145, 'CumulativeTaskScore': 0.6201425579870479, 'CumulativeMethodTaskPairScore': 0.4852632234401505}"
Offline Specialisation in Prolog Using a Hand-Written Compiler Generator,"The so called ``cogen approach'' to program specialisation, writing a
compiler generator instead of a specialiser, has been used with considerable
success in partial evaluation of both functional and imperative languages. This
paper demonstrates that the cogen approach is also applicable to the
specialisation of logic programs (also called partial deduction) and leads to
effective specialisers. Moreover, using good binding-time annotations, the
speed-ups of the specialised programs are comparable to the speed-ups obtained
with online specialisers. The paper first develops a generic approach to
offline partial deduction and then a specific offline partial deduction method,
leading to the offline system LIX for pure logic programs. While this is a
usable specialiser by itself, it is used to develop the cogen system LOGEN.
Given a program, a specification of what inputs will be static, and an
annotation specifying which calls should be unfolded, LOGEN generates a
specialised specialiser for the program at hand. Running this specialiser with
particular values for the static inputs results in the specialised program.
While this requires two steps instead of one, the efficiency of the
specialisation process is improved in situations where the same program is
specialised multiple times. The paper also presents and evaluates an automatic
binding-time analysis that is able to derive the annotations. While the derived
annotations are still suboptimal compared to hand-crafted ones, they enable
non-expert users to use the LOGEN system in a fully automated way. Finally,
LOGEN is extended so as to directly support a large part of Prolog's
declarative and non-declarative features and so as to be able to perform so
called mixline specialisations.",LIX - 0.95; c - 0.12; LOGEN - 1.75; ĊLOGEN - 1.68,program specialisation - 0.77; partial deduction - 1.18; Ċspecialisation logic programs - 1.55,LIX - program specialisation - 5.60; c - program specialisation - 3.61; c - partial deduction - 7.05; c - Ċspecialisation logic programs - 5.24; LOGEN - program specialisation - 8.11; LOGEN - partial deduction - 11.83; ĊLOGEN - program specialisation - 7.77,"{'CumulativeMethodScore': 0.6620123725700587, 'CumulativeTaskScore': 0.6950698652545245, 'CumulativeMethodTaskPairScore': 0.8151551306829777}"
Approximate Grammar for Information Extraction,"In this paper, we present the concept of Approximate grammar and how it can
be used to extract information from a documemt. As the structure of
informational strings cannot be defined well in a document, we cannot use the
conventional grammar rules to represent the information. Hence, the need arises
to design an approximate grammar that can be used effectively to accomplish the
task of Information extraction. Approximate grammars are a novel step in this
direction. The rules of an approximate grammar can be given by a user or the
machine can learn the rules from an annotated document. We have performed our
experiments in both the above areas and the results have been impressive.",Approximate grammar - 2.49; Approximate gramm - 5.92,Information extraction - 0.00,Approximate grammar - Information extraction - 4.26; Approximate gramm - Information extraction - 9.63,"{'CumulativeMethodScore': 0.8176179412765867, 'CumulativeTaskScore': 0.44375447054421435, 'CumulativeMethodTaskPairScore': 0.5615322318706374}"
Conflict-based Force Aggregation,"In this paper we present an application where we put together two methods for
clustering and classification into a force aggregation method. Both methods are
based on conflicts between elements. These methods work with different type of
elements (intelligence reports, vehicles, military units) on different
hierarchical levels using specific conflict assessment methods on each level.
We use Dempster-Shafer theory for conflict calculation between elements,
Dempster-Shafer clustering for clustering these elements, and templates for
classification. The result of these processes is a complete force aggregation
on all levels handled.",Conflict - 0.14; ĊDem-Shafer clustering - 4.36,Ċclassification - 1.26; clustering - 0.00; classification - 0.00; Ċclustering - 2.72,ĊDem-Shafer clustering - clustering - 8.20,"{'CumulativeMethodScore': 0.6617608741710743, 'CumulativeTaskScore': 0.7250391543850954, 'CumulativeMethodTaskPairScore': 0.5120633539645931}"
Bounded LTL Model Checking with Stable Models,"In this paper bounded model checking of asynchronous concurrent systems is
introduced as a promising application area for answer set programming. As the
model of asynchronous systems a generalisation of communicating automata,
1-safe Petri nets, are used. It is shown how a 1-safe Petri net and a
requirement on the behaviour of the net can be translated into a logic program
such that the bounded model checking problem for the net can be solved by
computing stable models of the corresponding program. The use of the stable
model semantics leads to compact encodings of bounded reachability and deadlock
detection tasks as well as the more general problem of bounded model checking
of linear temporal logic. Correctness proofs of the devised translations are
given, and some experimental results using the translation and the Smodels
system are presented.",1 Petri nets - 3.09,bounded model checking set programming - 0.43; bounded model checking - 1.03; bounded model checking temporal logic - 0.61; Bounded LTL Model Checking - 1.45,1 Petri nets - bounded model checking - 12.96,"{'CumulativeMethodScore': 0.5918365225534024, 'CumulativeTaskScore': 0.6964397108934826, 'CumulativeMethodTaskPairScore': 0.5534894231250796}"
