Title,Summary,Authors,Published,Category
"causalgraph: A Python Package for Modeling, Persisting and Visualizing Causal Graphs Embedded in Knowledge Graphs","This paper describes a novel Python package, named causalgraph, for modeling
and saving causal graphs embedded in knowledge graphs. The package has been
designed to provide an interface between causal disciplines such as causal
discovery and causal inference. With this package, users can create and save
causal graphs and export the generated graphs for use in other graph-based
packages. The main advantage of the proposed package is its ability to
facilitate the linking of additional information and metadata to causal
structures. In addition, the package offers a variety of functions for graph
modeling and plotting, such as editing, adding, and deleting nodes and edges.
It is also compatible with widely used graph data science libraries such as
NetworkX and Tigramite and incorporates a specially developed causalgraph
ontology in the background. This paper provides an overview of the package's
main features, functionality, and usage examples, enabling the reader to use
the package effectively in practice.","Sven Pieper, Carl Willy Mehling, Dominik Hirsch, Tobias Lüke, Steffen Ihlenfeldt",2023-01-20T09:36:32Z,cs.AI
Generative Logic with Time: Beyond Logical Consistency and Statistical Possibility,"This paper gives a simple theory of inference to logically reason symbolic
knowledge fully from data over time. We take a Bayesian approach to model how
data causes symbolic knowledge. Probabilistic reasoning with symbolic knowledge
is modelled as a process of going the causality forwards and backwards. The
forward and backward processes correspond to an interpretation and inverse
interpretation of formal logic, respectively. The theory is applied to a
localisation problem to show a robot with broken or noisy sensors can
efficiently solve the problem in a fully data-driven fashion.",Hiroyuki Kido,2023-01-20T10:55:49Z,cs.AI
On the Foundations of Cycles in Bayesian Networks,"Bayesian networks (BNs) are a probabilistic graphical model widely used for
representing expert knowledge and reasoning under uncertainty. Traditionally,
they are based on directed acyclic graphs that capture dependencies between
random variables. However, directed cycles can naturally arise when
cross-dependencies between random variables exist, e.g., for modeling feedback
loops. Existing methods to deal with such cross-dependencies usually rely on
reductions to BNs without cycles. These approaches are fragile to generalize,
since their justifications are intermingled with additional knowledge about the
application context. In this paper, we present a foundational study regarding
semantics for cyclic BNs that are generic and conservatively extend the
cycle-free setting. First, we propose constraint-based semantics that specify
requirements for full joint distributions over a BN to be consistent with the
local conditional probabilities and independencies. Second, two kinds of limit
semantics that formalize infinite unfolding approaches are introduced and shown
to be computable by a Markov chain construction.","Christel Baier, Clemens Dubslaff, Holger Hermanns, Nikolai Käfer",2023-01-20T14:40:17Z,cs.AI
Counterexample Guided Abstraction Refinement with Non-Refined Abstractions for Multi-Agent Path Finding,"Counterexample guided abstraction refinement (CEGAR) represents a powerful
symbolic technique for various tasks such as model checking and reachability
analysis. Recently, CEGAR combined with Boolean satisfiability (SAT) has been
applied for multi-agent path finding (MAPF), a problem where the task is to
navigate agents from their start positions to given individual goal positions
so that the agents do not collide with each other.
  The recent CEGAR approach used the initial abstraction of the MAPF problem
where collisions between agents were omitted and were eliminated in subsequent
abstraction refinements. We propose in this work a novel CEGAR-style solver for
MAPF based on SAT in which some abstractions are deliberately left non-refined.
This adds the necessity to post-process the answers obtained from the
underlying SAT solver as these answers slightly differ from the correct MAPF
solutions. Non-refining however yields order-of-magnitude smaller SAT encodings
than those of the previous approach and speeds up the overall solving process
making the SAT-based solver for MAPF competitive again in relevant benchmarks.",Pavel Surynek,2023-01-20T17:18:49Z,cs.AI
"Mathematics, word problems, common sense, and artificial intelligence","The paper discusses the capacities and limitations of current artificial
intelligence (AI) technology to solve word problems that combine elementary
knowledge with commonsense reasoning. No existing AI systems can solve these
reliably. We review three approaches that have been developed, using AI natural
language technology: outputting the answer directly, outputting a computer
program that solves the problem, and outputting a formalized representation
that can be input to an automated theorem verifier. We review some benchmarks
that have been developed to evaluate these systems and some experimental
studies. We discuss the limitations of the existing technology at solving these
kinds of problems. We argue that it is not clear whether these kinds of
limitations will be important in developing AI technology for pure mathematical
research, but that they will be important in applications of mathematics, and
may well be important in developing programs capable of reading and
understanding mathematical content written by humans.",Ernest Davis,2023-01-23T21:21:39Z,cs.AI
Language-guided Task Adaptation for Imitation Learning,"We introduce a novel setting, wherein an agent needs to learn a task from a
demonstration of a related task with the difference between the tasks
communicated in natural language. The proposed setting allows reusing
demonstrations from other tasks, by providing low effort language descriptions,
and can also be used to provide feedback to correct agent errors, which are
both important desiderata for building intelligent agents that assist humans in
daily tasks. To enable progress in this proposed setting, we create two
benchmarks -- Room Rearrangement and Room Navigation -- that cover a diverse
set of task adaptations. Further, we propose a framework that uses a
transformer-based model to reason about the entities in the tasks and their
relationships, to learn a policy for the target task","Prasoon Goyal, Raymond J. Mooney, Scott Niekum",2023-01-24T00:56:43Z,cs.AI
Open-World Multi-Task Control Through Goal-Aware Representation Learning and Adaptive Horizon Prediction,"We study the problem of learning goal-conditioned policies in Minecraft, a
popular, widely accessible yet challenging open-ended environment for
developing human-level multi-task agents. We first identify two main challenges
of learning such policies: 1) the indistinguishability of tasks from the state
distribution, due to the vast scene diversity, and 2) the non-stationary nature
of environment dynamics caused by partial observability. To tackle the first
challenge, we propose Goal-Sensitive Backbone (GSB) for the policy to encourage
the emergence of goal-relevant visual state representations. To tackle the
second challenge, the policy is further fueled by an adaptive horizon
prediction module that helps alleviate the learning uncertainty brought by the
non-stationary dynamics. Experiments on 20 Minecraft tasks show that our method
significantly outperforms the best baseline so far; in many of them, we double
the performance. Our ablation and exploratory studies then explain how our
approach beat the counterparts and also unveil the surprising bonus of
zero-shot generalization to new scenes (biomes). We hope our agent could help
shed some light on learning goal-conditioned, multi-task agents in challenging,
open-ended environments like Minecraft.","Shaofei Cai, Zihao Wang, Xiaojian Ma, Anji Liu, Yitao Liang",2023-01-21T08:15:38Z,cs.AI
Reformulation Techniques for Automated Planning: A Systematic Review,"Automated planning is a prominent area of Artificial Intelligence, and an
important component for intelligent autonomous agents. A cornerstone of
domain-independent planning is the separation between planning logic, i.e. the
automated reasoning side, and the knowledge model, that encodes a formal
representation of domain knowledge needed to reason upon a given problem to
synthesise a solution plan. Such a separation enables the use of reformulation
techniques, which transform how a model is represented in order to improve the
efficiency of plan generation. Over the past decades, significant research
effort has been devoted to the design of reformulation techniques. In this
paper, we present a systematic review of the large body of work on
reformulation techniques for classical planning, aiming to provide a holistic
view of the field and to foster future research in the area. As a tangible
outcome, we provide a qualitative comparison of the existing classes of
techniques, that can help researchers gain an overview of their strengths and
weaknesses.","Diaeddin Alarnaouti, George Baryannis, Mauro Vallati",2023-01-24T15:33:37Z,cs.AI
NeSIG: A Neuro-Symbolic Method for Learning to Generate Planning Problems,"In the field of Automated Planning there is often the need for a set of
planning problems from a particular domain, e.g., to be used as training data
for Machine Learning or as benchmarks in planning competitions. In most cases,
these problems are created either by hand or by a domain-specific generator,
putting a burden on the human designers. In this paper we propose NeSIG, to the
best of our knowledge the first domain-independent method for automatically
generating planning problems that are valid, diverse and difficult to solve. We
formulate problem generation as a Markov Decision Process and train two
generative policies with Deep Reinforcement Learning to generate problems with
the desired properties. We conduct experiments on several classical domains,
comparing our method with handcrafted domain-specific generators that generate
valid and diverse problems but do not optimize difficulty. The results show
NeSIG is able to automatically generate valid problems of greater difficulty
than the competitor approaches, while maintaining good diversity.","Carlos Núñez-Molina, Pablo Mesejo, Juan Fernández-Olivares",2023-01-24T19:37:59Z,cs.AI
PushWorld: A benchmark for manipulation planning with tools and movable obstacles,"While recent advances in artificial intelligence have achieved human-level
performance in environments like Starcraft and Go, many physical reasoning
tasks remain challenging for modern algorithms. To date, few algorithms have
been evaluated on physical tasks that involve manipulating objects when movable
obstacles are present and when tools must be used to perform the manipulation.
To promote research on such tasks, we introduce PushWorld, an environment with
simplistic physics that requires manipulation planning with both movable
obstacles and tools. We provide a benchmark of more than 200 PushWorld puzzles
in PDDL and in an OpenAI Gym environment. We evaluate state-of-the-art
classical planning and reinforcement learning algorithms on this benchmark, and
we find that these baseline results are below human-level performance. We then
provide a new classical planning heuristic that solves the most puzzles among
the baselines, and although it is 40 times faster than the best baseline
planner, it remains below human-level performance.","Ken Kansky, Skanda Vaidyanath, Scott Swingle, Xinghua Lou, Miguel Lazaro-Gredilla, Dileep George",2023-01-24T20:20:17Z,cs.AI
Leveraging Planning Landmarks for Hybrid Online Goal Recognition,"Goal recognition is an important problem in many application domains (e.g.,
pervasive computing, intrusion detection, computer games, etc.). In many
application scenarios it is important that goal recognition algorithms can
recognize goals of an observed agent as fast as possible and with minimal
domain knowledge. Hence, in this paper, we propose a hybrid method for online
goal recognition that combines a symbolic planning landmark based approach and
a data-driven goal recognition approach and evaluate it in a real-world cooking
scenario. The empirical results show that the proposed method is not only
significantly more efficient in terms of computation time than the
state-of-the-art but also improves goal recognition performance. Furthermore,
we show that the utilized planning landmark based approach, which was so far
only evaluated on artificial benchmark domains, achieves also good recognition
performance when applied to a real-world cooking scenario.","Nils Wilken, Lea Cohausz, Johannes Schaum, Stefan Lüdtke, Christian Bartelt, Heiner Stuckenschmidt",2023-01-25T13:21:30Z,cs.AI
Reflective Artificial Intelligence,"Artificial Intelligence (AI) is about making computers that do the sorts of
things that minds can do, and as we progress towards this goal, we tend to
increasingly delegate human tasks to machines. However, AI systems usually do
these tasks with an unusual imbalance of insight and understanding: new, deeper
insights are present, yet many important qualities that a human mind would have
previously brought to the activity are utterly absent. Therefore, it is crucial
to ask which features of minds have we replicated, which are missing, and if
that matters. One core feature that humans bring to tasks, when dealing with
the ambiguity, emergent knowledge, and social context presented by the world,
is reflection. Yet this capability is utterly missing from current mainstream
AI. In this paper we ask what reflective AI might look like. Then, drawing on
notions of reflection in complex systems, cognitive science, and agents, we
sketch an architecture for reflective AI agents, and highlight ways forward.","Peter R. Lewis, Stefan Sarkadi",2023-01-25T20:50:26Z,cs.AI
Towards Knowledge-Centric Process Mining,"Process analytic approaches play a critical role in supporting the practice
of business process management and continuous process improvement by leveraging
process-related data to identify performance bottlenecks, extracting insights
about reducing costs and optimizing the utilization of available resources.
Process analytic techniques often have to contend with real-world settings
where available logs are noisy or incomplete. In this paper we present an
approach that permits process analytics techniques to deliver value in the face
of noisy/incomplete event logs. Our approach leverages knowledge graphs to
mitigate the effects of noise in event logs while supporting process analysts
in understanding variability associated with event logs.","Asjad Khan, Arsal Huda, Aditya Ghose, Hoa Khanh Dam",2023-01-26T04:23:04Z,cs.AI
A Systematic Review of Green AI,"With the ever-growing adoption of AI-based systems, the carbon footprint of
AI is no longer negligible. AI researchers and practitioners are therefore
urged to hold themselves accountable for the carbon emissions of the AI models
they design and use. This led in recent years to the appearance of researches
tackling AI environmental sustainability, a field referred to as Green AI.
Despite the rapid growth of interest in the topic, a comprehensive overview of
Green AI research is to date still missing. To address this gap, in this paper,
we present a systematic review of the Green AI literature. From the analysis of
98 primary studies, different patterns emerge. The topic experienced a
considerable growth from 2020 onward. Most studies consider monitoring AI model
footprint, tuning hyperparameters to improve model sustainability, or
benchmarking models. A mix of position papers, observational studies, and
solution papers are present. Most papers focus on the training phase, are
algorithm-agnostic or study neural networks, and use image data. Laboratory
experiments are the most common research strategy. Reported Green AI energy
savings go up to 115%, with savings over 50% being rather common. Industrial
parties are involved in Green AI studies, albeit most target academic readers.
Green AI tool provisioning is scarce. As a conclusion, the Green AI research
field results to have reached a considerable level of maturity. Therefore, from
this review emerges that the time is suitable to adopt other Green AI research
strategies, and port the numerous promising academic results to industrial
practice.","Roberto Verdecchia, June Sallou, Luís Cruz",2023-01-26T11:41:46Z,cs.AI
Generalized Planning as Heuristic Search: A new planning search-space that leverages pointers over objects,"Planning as heuristic search is one of the most successful approaches to
classical planning but unfortunately, it does not extend trivially to
Generalized Planning (GP). GP aims to compute algorithmic solutions that are
valid for a set of classical planning instances from a given domain, even if
these instances differ in the number of objects, the number of state variables,
their domain size, or their initial and goal configuration. The generalization
requirements of GP make it impractical to perform the state-space search that
is usually implemented by heuristic planners. This paper adapts the planning as
heuristic search paradigm to the generalization requirements of GP, and
presents the first native heuristic search approach to GP. First, the paper
introduces a new pointer-based solution space for GP that is independent of the
number of classical planning instances in a GP problem and the size of those
instances (i.e. the number of objects, state variables and their domain sizes).
Second, the paper defines a set of evaluation and heuristic functions for
guiding a combinatorial search in our new GP solution space. The computation of
these evaluation and heuristic functions does not require grounding states or
actions in advance. Therefore our GP as heuristic search approach can handle
large sets of state variables with large numerical domains, e.g.~integers.
Lastly, the paper defines an upgraded version of our novel algorithm for GP
called Best-First Generalized Planning (BFGP), that implements a best-first
search in our pointer-based solution space, and that is guided by our
evaluation/heuristic functions for GP.","Javier Segovia-Aguas, Sergio Jiménez, Anders Jonsson",2023-01-26T13:25:39Z,cs.AI
Polycraft World AI Lab (PAL): An Extensible Platform for Evaluating Artificial Intelligence Agents,"As artificial intelligence research advances, the platforms used to evaluate
AI agents need to adapt and grow to continue to challenge them. We present the
Polycraft World AI Lab (PAL), a task simulator with an API based on the
Minecraft mod Polycraft World. Our platform is built to allow AI agents with
different architectures to easily interact with the Minecraft world, train and
be evaluated in multiple tasks. PAL enables the creation of tasks in a flexible
manner as well as having the capability to manipulate any aspect of the task
during an evaluation. All actions taken by AI agents and external actors
(non-player-characters, NPCs) in the open-world environment are logged to
streamline evaluation. Here we present two custom tasks on the PAL platform,
one focused on multi-step planning and one focused on navigation, and
evaluations of agents solving them. In summary, we report a versatile and
extensible AI evaluation platform with a low barrier to entry for AI
researchers to utilize.","Stephen A. Goss, Robert J. Steininger, Dhruv Narayanan, Daniel V. Olivença, Yutong Sun, Peng Qiu, Jim Amato, Eberhard O. Voit, Walter E. Voit, Eric J. Kildebeck",2023-01-27T18:08:04Z,cs.AI
"Even if Explanations: Prior Work, Desiderata & Benchmarks for Semi-Factual XAI","Recently, eXplainable AI (XAI) research has focused on counterfactual
explanations as post-hoc justifications for AI-system decisions (e.g. a
customer refused a loan might be told: If you asked for a loan with a shorter
term, it would have been approved). Counterfactuals explain what changes to the
input-features of an AI system change the output-decision. However, there is a
sub-type of counterfactual, semi-factuals, that have received less attention in
AI (though the Cognitive Sciences have studied them extensively). This paper
surveys these literatures to summarise historical and recent breakthroughs in
this area. It defines key desiderata for semi-factual XAI and reports benchmark
tests of historical algorithms (along with a novel, naieve method) to provide a
solid basis for future algorithmic developments.","Saugat Aryal, Mark T Keane",2023-01-27T19:58:12Z,cs.AI
Context Matters: A Strategy to Pre-train Language Model for Science Education,"This study aims at improving the performance of scoring student responses in
science education automatically. BERT-based language models have shown
significant superiority over traditional NLP models in various language-related
tasks. However, science writing of students, including argumentation and
explanation, is domain-specific. In addition, the language used by students is
different from the language in journals and Wikipedia, which are training
sources of BERT and its existing variants. All these suggest that a
domain-specific model pre-trained using science education data may improve
model performance. However, the ideal type of data to contextualize pre-trained
language model and improve the performance in automatically scoring student
written responses remains unclear. Therefore, we employ different data in this
study to contextualize both BERT and SciBERT models and compare their
performance on automatic scoring of assessment tasks for scientific
argumentation. We use three datasets to pre-train the model: 1) journal
articles in science education, 2) a large dataset of students' written
responses (sample size over 50,000), and 3) a small dataset of students'
written responses of scientific argumentation tasks. Our experimental results
show that in-domain training corpora constructed from science questions and
responses improve language model performance on a wide variety of downstream
tasks. Our study confirms the effectiveness of continual pre-training on
domain-specific data in the education domain and demonstrates a generalizable
strategy for automating science education tasks with high accuracy. We plan to
release our data and SciEdBERT models for public use and community engagement.","Zhengliang Liu, Xinyu He, Lei Liu, Tianming Liu, Xiaoming Zhai",2023-01-27T23:50:16Z,cs.AI
HAT-GAE: Self-Supervised Graph Auto-encoders with Hierarchical Adaptive Masking and Trainable Corruption,"Self-supervised auto-encoders have emerged as a successful framework for
representation learning in computer vision and natural language processing in
recent years, However, their application to graph data has been met with
limited performance due to the non-Euclidean and complex structure of graphs in
comparison to images or text, as well as the limitations of conventional
auto-encoder architectures. In this paper, we investigate factors impacting the
performance of auto-encoders on graph data and propose a novel auto-encoder
model for graph representation learning. Our model incorporates a hierarchical
adaptive masking mechanism to incrementally increase the difficulty of training
in order to mimic the process of human cognitive learning, and a trainable
corruption scheme to enhance the robustness of learned representations. Through
extensive experimentation on ten benchmark datasets, we demonstrate the
superiority of our proposed method over state-of-the-art graph representation
learning models.",Chengyu Sun,2023-01-28T02:43:54Z,cs.AI
A System for Human-AI collaboration for Online Customer Support,"AI enabled chat bots have recently been put to use to answer customer service
queries, however it is a common feedback of users that bots lack a personal
touch and are often unable to understand the real intent of the user's
question. To this end, it is desirable to have human involvement in the
customer servicing process. In this work, we present a system where a human
support agent collaborates in real-time with an AI agent to satisfactorily
answer customer queries. We describe the user interaction elements of the
solution, along with the machine learning techniques involved in the AI agent.","Debayan Banerjee, Mathis Poser, Christina Wiethof, Varun Shankar Subramanian, Richard Paucar, Eva A. C. Bittner, Chris Biemann",2023-01-28T11:07:23Z,cs.AI
MVKT-ECG: Efficient Single-lead ECG Classification on Multi-Label Arrhythmia by Multi-View Knowledge Transferring,"The widespread emergence of smart devices for ECG has sparked demand for
intelligent single-lead ECG-based diagnostic systems. However, it is
challenging to develop a single-lead-based ECG interpretation model for
multiple diseases diagnosis due to the lack of some key disease information. In
this work, we propose inter-lead Multi-View Knowledge Transferring of ECG
(MVKT-ECG) to boost single-lead ECG's ability for multi-label disease
diagnosis. This training strategy can transfer superior disease knowledge from
multiple different views of ECG (e.g. 12-lead ECG) to single-lead-based ECG
interpretation model to mine details in single-lead ECG signals that are easily
overlooked by neural networks. MVKT-ECG allows this lead variety as a
supervision signal within a teacher-student paradigm, where the teacher
observes multi-lead ECG educates a student who observes only single-lead ECG.
Since the mutual disease information between the single-lead ECG and muli-lead
ECG plays a key role in knowledge transferring, we present a new disease-aware
Contrastive Lead-information Transferring(CLT) to improve the mutual disease
information between the single-lead ECG and muli-lead ECG. Moreover, We modify
traditional Knowledge Distillation to multi-label disease Knowledge
Distillation (MKD) to make it applicable for multi-label disease diagnosis. The
comprehensive experiments verify that MVKT-ECG has an excellent performance in
improving the diagnostic effect of single-lead ECG.","Yuzhen Qin, Li Sun, Hui Chen, Wei-qiang Zhang, Wenming Yang, Jintao Fei, Guijin Wang",2023-01-28T12:28:39Z,cs.AI
Interactive Log Parsing via Light-weight User Feedback,"Template mining is one of the foundational tasks to support log analysis,
which supports the diagnosis and troubleshooting of large scale Web
applications. This paper develops a human-in-the-loop template mining framework
to support interactive log analysis, which is highly desirable in real-world
diagnosis or troubleshooting of Web applications but yet previous template
mining algorithms fails to support it. We formulate three types of light-weight
user feedbacks and based on them we design three atomic human-in-the-loop
template mining algorithms. We derive mild conditions under which the outputs
of our proposed algorithms are provably correct. We also derive upper bounds on
the computational complexity and query complexity of each algorithm. We
demonstrate the versatility of our proposed algorithms by combining them to
improve the template mining accuracy of five representative algorithms over
sixteen widely used benchmark datasets.","Liming Wang, Hong Xie, Ye Li, Jian Tan, John C. S. Lui",2023-01-28T15:19:43Z,cs.AI
Predicting Visit Cost of Obstructive Sleep Apnea using Electronic Healthcare Records with Transformer,"Background: Obstructive sleep apnea (OSA) is growing increasingly prevalent
in many countries as obesity rises. Sufficient, effective treatment of OSA
entails high social and financial costs for healthcare. Objective: For
treatment purposes, predicting OSA patients' visit expenses for the coming year
is crucial. Reliable estimates enable healthcare decision-makers to perform
careful fiscal management and budget well for effective distribution of
resources to hospitals. The challenges created by scarcity of high-quality
patient data are exacerbated by the fact that just a third of those data from
OSA patients can be used to train analytics models: only OSA patients with more
than 365 days of follow-up are relevant for predicting a year's expenditures.
Methods and procedures: The authors propose a method applying two Transformer
models, one for augmenting the input via data from shorter visit histories and
the other predicting the costs by considering both the material thus enriched
and cases with more than a year's follow-up. Results: The two-model solution
permits putting the limited body of OSA patient data to productive use.
Relative to a single-Transformer solution using only a third of the
high-quality patient data, the solution with two models improved the prediction
performance's $R^{2}$ from 88.8% to 97.5%. Even using baseline models with the
model-augmented data improved the $R^{2}$ considerably, from 61.6% to 81.9%.
Conclusion: The proposed method makes prediction with the most of the available
high-quality data by carefully exploiting details, which are not directly
relevant for answering the question of the next year's likely expenditure.","Zhaoyang Chen, Lina Siltala-Li, Mikko Lassila, Pekka Malo, Eeva Vilkkumaa, Tarja Saaresranta, Arho Veli Virkki",2023-01-28T20:08:00Z,cs.AI
"Data-driven intelligent computational design for products: Method, techniques, and applications","Data-driven intelligent computational design (DICD) is a research hotspot
emerged under the context of fast-developing artificial intelligence. It
emphasizes on utilizing deep learning algorithms to extract and represent the
design features hidden in historical or fabricated design process data, and
then learn the combination and mapping patterns of these design features for
the purposes of design solution retrieval, generation, optimization,
evaluation, etc. Due to its capability of automatically and efficiently
generating design solutions and thus supporting human-in-the-loop intelligent
and innovative design activities, DICD has drawn the attentions from both
academic and industrial fields. However, as an emerging research subject, there
are still many unexplored issues that limit the development and application of
DICD, such as specific dataset building, engineering design related feature
engineering, systematic methods and techniques for DICD implementation in the
entire product design process, etc. In this regard, a systematic and operable
road map for DICD implementation from full-process perspective is established,
including a general workflow for DICD project planning, an overall framework
for DICD project implementation, the computing mechanisms for DICD
implementation, key enabling technologies for detailed DICD implementation, and
three application scenarios of DICD. The road map reveals the common mechanisms
and calculation principles of existing DICD researches, and thus it can provide
systematic guidance for the possible DICD applications that have not been
explored.","Maolin Yang, Pingyu Jiang, Tianshuo Zang, Yuhao Liu",2023-01-29T07:17:46Z,cs.AI
HeroNet: A Hybrid Retrieval-Generation Network for Conversational Bots,"Using natural language, Conversational Bot offers unprecedented ways to many
challenges in areas such as information searching, item recommendation, and
question answering. Existing bots are usually developed through retrieval-based
or generative-based approaches, yet both of them have their own advantages and
disadvantages. To assemble this two approaches, we propose a hybrid
retrieval-generation network (HeroNet) with the three-fold ideas: 1). To
produce high-quality sentence representations, HeroNet performs multi-task
learning on two subtasks: Similar Queries Discovery and Query-Response
Matching. Specifically, the retrieval performance is improved while the model
size is reduced by training two lightweight, task-specific adapter modules that
share only one underlying T5-Encoder model. 2). By introducing adversarial
training, HeroNet is able to solve both retrieval\&generation tasks
simultaneously while maximizing performance of each other. 3). The retrieval
results are used as prior knowledge to improve the generation performance while
the generative result are scored by the discriminator and their scores are
integrated into the generator's cross-entropy loss function. The experimental
results on a open dataset demonstrate the effectiveness of the HeroNet and our
code is available at https://github.com/TempHero/HeroNet.git","Bolin Zhang, Yunzhe Xu, Zhiying Tu, Dianhui Chu",2023-01-29T09:36:44Z,cs.AI
BERT-based Authorship Attribution on the Romanian Dataset called ROST,"Being around for decades, the problem of Authorship Attribution is still very
much in focus currently. Some of the more recent instruments used are the
pre-trained language models, the most prevalent being BERT. Here we used such a
model to detect the authorship of texts written in the Romanian language. The
dataset used is highly unbalanced, i.e., significant differences in the number
of texts per author, the sources from which the texts were collected, the time
period in which the authors lived and wrote these texts, the medium intended to
be read (i.e., paper or online), and the type of writing (i.e., stories, short
stories, fairy tales, novels, literary articles, and sketches). The results are
better than expected, sometimes exceeding 87\% macro-accuracy.",Sanda-Maria Avram,2023-01-29T17:37:29Z,cs.AI
Distilling Internet-Scale Vision-Language Models into Embodied Agents,"Instruction-following agents must ground language into their observation and
action spaces. Learning to ground language is challenging, typically requiring
domain-specific engineering or large quantities of human interaction data. To
address this challenge, we propose using pretrained vision-language models
(VLMs) to supervise embodied agents. We combine ideas from model distillation
and hindsight experience replay (HER), using a VLM to retroactively generate
language describing the agent's behavior. Simple prompting allows us to control
the supervision signal, teaching an agent to interact with novel objects based
on their names (e.g., planes) or their features (e.g., colors) in a 3D rendered
environment. Fewshot prompting lets us teach abstract category membership,
including pre-existing categories (food vs toys) and ad-hoc ones (arbitrary
preferences over objects). Our work outlines a new and effective way to use
internet-scale VLMs, repurposing the generic language grounding acquired by
such models to teach task-relevant groundings to embodied agents.","Theodore Sumers, Kenneth Marino, Arun Ahuja, Rob Fergus, Ishita Dasgupta",2023-01-29T18:21:05Z,cs.AI
EMP-EVAL: A Framework for Measuring Empathy in Open Domain Dialogues,"Measuring empathy in conversation can be challenging, as empathy is a complex
and multifaceted psychological construct that involves both cognitive and
emotional components. Human evaluations can be subjective, leading to
inconsistent results. Therefore, there is a need for an automatic method for
measuring empathy that reduces the need for human evaluations. In this paper,
we proposed a novel approach EMP-EVAL, a simple yet effective automatic empathy
evaluation method. The proposed technique takes the influence of Emotion,
Cognitive and Emotional empathy. To the best knowledge, our work is the first
to systematically measure empathy without the human-annotated provided scores.
Experimental results demonstrate that our metrics can correlate with human
preference, achieving comparable results with human judgments.","Bushra Amjad, Muhammad Zeeshan, Mirza Omer Beg",2023-01-29T18:42:19Z,cs.AI
A Mental Model Based Theory of Trust,"Handling trust is one of the core requirements for facilitating effective
interaction between the human and the AI agent. Thus, any decision-making
framework designed to work with humans must possess the ability to estimate and
leverage human trust. In this paper, we propose a mental model based theory of
trust that not only can be used to infer trust, thus providing an alternative
to psychological or behavioral trust inference methods, but also can be used as
a foundation for any trust-aware decision-making frameworks. First, we
introduce what trust means according to our theory and then use the theory to
define trust evolution, human reliance and decision making, and a formalization
of the appropriate level of trust in the agent. Using human subject studies, we
compare our theory against one of the most common trust scales (Muir scale) to
evaluate 1) whether the observations from the human studies match our proposed
theory and 2) what aspects of trust are more aligned with our proposed theory.","Zahra Zahedi, Sarath Sreedharan, Subbarao Kambhampati",2023-01-29T22:36:37Z,cs.AI
Transferring Multiple Policies to Hotstart Reinforcement Learning in an Air Compressor Management Problem,"Many instances of similar or almost-identical industrial machines or tools
are often deployed at once, or in quick succession. For instance, a particular
model of air compressor may be installed at hundreds of customers. Because
these tools perform distinct but highly similar tasks, it is interesting to be
able to quickly produce a high-quality controller for machine $N+1$ given the
controllers already produced for machines $1..N$. This is even more important
when the controllers are learned through Reinforcement Learning, as training
takes time, energy and other resources. In this paper, we apply Policy
Intersection, a Policy Shaping method, to help a Reinforcement Learning agent
learn to solve a new variant of a compressors control problem faster, by
transferring knowledge from several previously learned controllers. We show
that our approach outperforms loading an old controller, and significantly
improves performance in the long run.","Hélène Plisnier, Denis Steckelmacher, Jeroen Willems, Bruno Depraetere, Ann Nowé",2023-01-30T12:18:36Z,cs.AI
Distributed Swarm Intelligence,"This paper presents the development of a distributed application that
facilitates the understanding and application of swarm intelligence in solving
optimization problems. The platform comprises a search space of customizable
random particles, allowing users to tailor the solution to their specific
needs. By leveraging the power of Ray distributed computing, the application
can support multiple users simultaneously, offering a flexible and scalable
solution. The primary objective of this project is to provide a user-friendly
platform that enhances the understanding and practical use of swarm
intelligence in problem-solving.","Karthik Reddy Kanjula, Sai Meghana Kolla",2023-01-30T20:36:35Z,cs.AI
On the Complexity of Enumerating Prime Implicants from Decision-DNNF Circuits,"We consider the problem EnumIP of enumerating prime implicants of Boolean
functions represented by decision decomposable negation normal form (dec-DNNF)
circuits. We study EnumIP from dec-DNNF within the framework of enumeration
complexity and prove that it is in OutputP, the class of output polynomial
enumeration problems, and more precisely in IncP, the class of polynomial
incremental time enumeration problems. We then focus on two closely related,
but seemingly harder, enumeration problems where further restrictions are put
on the prime implicants to be generated. In the first problem, one is only
interested in prime implicants representing subset-minimal abductive
explanations, a notion much investigated in AI for more than three decades. In
the second problem, the target is prime implicants representing sufficient
reasons, a recent yet important notion in the emerging field of eXplainable AI,
since they aim to explain predictions achieved by machine learning classifiers.
We provide evidence showing that enumerating specific prime implicants
corresponding to subset-minimal abductive explanations or to sufficient reasons
is not in OutputP.","Alexis de Colnet, Pierre Marquis",2023-01-30T23:23:45Z,cs.AI
Purposeful and Operation-based Cognitive System for AGI,"This paper proposes a new cognitive model, acting as the main component of an
AGI agent. The model is introduced in its mature state, and as an extension of
previous models, DENN, and especially AKREM, by including operational models
(frames/classes) and will. In addition, it is mainly based on the duality
principle in every known intelligent aspect, such as exhibiting both top-down
and bottom-up model learning, generalization verse specialization, and more.
Furthermore, a holistic approach is advocated for AGI designing and cognition
under constraints or efficiency is proposed, in the form of reusability and
simplicity. Finally, reaching this mature state is described via a cognitive
evolution from infancy to adulthood, utilizing a consolidation principle. The
final product of this cognitive model is a dynamic operational memory of models
and instances.",Shimon Komarovsky,2023-01-31T11:11:38Z,cs.AI
